b: 3	h: 7	v: 2073	approx: 10	i: 20
static_evaluation: 2073	parent: None	daughters: [1632, 9281, -2026]	depth: 0	interesting: 15	is_interesting: True	
static_evaluation: 1632	parent: 2073	daughters: [6850, 4614, -576]	depth: 1	interesting: 87	is_interesting: True	
static_evaluation: 6850	parent: 1632	daughters: [-2396, 2360, -6072]	depth: 2	interesting: 41	is_interesting: True	
static_evaluation: -2396	parent: 6850	daughters: [2996, 5731, 4836]	depth: 3	interesting: 52	is_interesting: True	
static_evaluation: 2996	parent: -2396	daughters: [-2504, 900, 2983]	depth: 4	interesting: 94	is_interesting: True	
static_evaluation: -2504	parent: 2996	daughters: [9148, 6792, 3134]	depth: 5	interesting: 87	is_interesting: False	
static_evaluation: 9148	parent: -2504	daughters: []	depth: 6	interesting: 73	is_interesting: False	
static_evaluation: 6792	parent: -2504	daughters: []	depth: 6	interesting: 85	is_interesting: False	
static_evaluation: 3134	parent: -2504	daughters: [2576, 4239, -2706]	depth: 6	interesting: 1	is_interesting: True	
static_evaluation: 2576	parent: 3134	daughters: [-2032, 6384, 3950]	depth: 7	interesting: 1	is_interesting: True	
static_evaluation: -2032	parent: 2576	daughters: []	depth: 8	interesting: 38	is_interesting: False	
static_evaluation: 6384	parent: 2576	daughters: []	depth: 8	interesting: 30	is_interesting: False	
static_evaluation: 3950	parent: 2576	daughters: []	depth: 8	interesting: 41	is_interesting: False	
static_evaluation: 4239	parent: 3134	daughters: []	depth: 7	interesting: 51	is_interesting: False	
static_evaluation: -2706	parent: 3134	daughters: []	depth: 7	interesting: 68	is_interesting: False	
static_evaluation: 900	parent: 2996	daughters: [-865, 87]	depth: 5	interesting: 25	is_interesting: True	
static_evaluation: -865	parent: 900	daughters: []	depth: 6	interesting: 85	is_interesting: False	
static_evaluation: 87	parent: 900	daughters: []	depth: 6	interesting: 82	is_interesting: False	
static_evaluation: 2983	parent: 2996	daughters: [7270, -163, -2578]	depth: 5	interesting: 30	is_interesting: True	
static_evaluation: 7270	parent: 2983	daughters: []	depth: 6	interesting: 72	is_interesting: False	
static_evaluation: -163	parent: 2983	daughters: []	depth: 6	interesting: 98	is_interesting: False	
static_evaluation: -2578	parent: 2983	daughters: []	depth: 6	interesting: 67	is_interesting: False	
static_evaluation: 5731	parent: -2396	daughters: [-5110, 3617, 4761]	depth: 4	interesting: 57	is_interesting: True	
static_evaluation: -5110	parent: 5731	daughters: [7979, 8559, 5278]	depth: 5	interesting: 32	is_interesting: True	
static_evaluation: 7979	parent: -5110	daughters: []	depth: 6	interesting: 72	is_interesting: False	
static_evaluation: 8559	parent: -5110	daughters: []	depth: 6	interesting: 86	is_interesting: False	
static_evaluation: 5278	parent: -5110	daughters: []	depth: 6	interesting: 30	is_interesting: False	
static_evaluation: 3617	parent: 5731	daughters: [2357, 4401, -3000]	depth: 5	interesting: 46	is_interesting: True	
static_evaluation: 2357	parent: 3617	daughters: []	depth: 6	interesting: 23	is_interesting: False	
static_evaluation: 4401	parent: 3617	daughters: []	depth: 6	interesting: 53	is_interesting: False	
static_evaluation: -3000	parent: 3617	daughters: [3707, 3695, 8506]	depth: 6	interesting: 15	is_interesting: True	
static_evaluation: 3707	parent: -3000	daughters: [-3026, -486, 9794]	depth: 7	interesting: 9	is_interesting: True	
static_evaluation: -3026	parent: 3707	daughters: [8169, 4486, 3828]	depth: 8	interesting: 2	is_interesting: False	
static_evaluation: 8169	parent: -3026	daughters: [-7692, -6667, 8693, -3985, 667]	depth: 9	interesting: 1	is_interesting: False	
static_evaluation: -7692	parent: 8169	daughters: []	depth: 10	interesting: 80	is_interesting: False	
static_evaluation: -6667	parent: 8169	daughters: []	depth: 10	interesting: 53	is_interesting: False	
static_evaluation: 8693	parent: 8169	daughters: []	depth: 10	interesting: 82	is_interesting: False	
static_evaluation: -3985	parent: 8169	daughters: []	depth: 10	interesting: 38	is_interesting: False	
static_evaluation: 667	parent: 8169	daughters: []	depth: 10	interesting: 34	is_interesting: False	
static_evaluation: 4486	parent: -3026	daughters: []	depth: 9	interesting: 31	is_interesting: False	
static_evaluation: 3828	parent: -3026	daughters: [-3235, 4431, 505, 1145]	depth: 9	interesting: 17	is_interesting: False	
static_evaluation: -3235	parent: 3828	daughters: []	depth: 10	interesting: 43	is_interesting: False	
static_evaluation: 4431	parent: 3828	daughters: [5739, 3736, -4158]	depth: 10	interesting: 4	is_interesting: False	
static_evaluation: 5739	parent: 4431	daughters: []	depth: 11	interesting: 21	is_interesting: False	
static_evaluation: 3736	parent: 4431	daughters: [-3562, 9957, 1891]	depth: 11	interesting: 12	is_interesting: False	
static_evaluation: -3562	parent: 3736	daughters: []	depth: 12	interesting: 31	is_interesting: False	
static_evaluation: 9957	parent: 3736	daughters: [-2257, -8193, 8290, -9401]	depth: 12	interesting: 18	is_interesting: False	
static_evaluation: -2257	parent: 9957	daughters: []	depth: 13	interesting: 58	is_interesting: False	
static_evaluation: -8193	parent: 9957	daughters: []	depth: 13	interesting: 74	is_interesting: False	
static_evaluation: 8290	parent: 9957	daughters: []	depth: 13	interesting: 52	is_interesting: False	
